id,name,common_name,active_substance,therapeutic_area,group
917,Voraxaze,glucarpidase,glucarpidase,Metabolic Side Effects of Drugs and Substances,All other therapeutic products
918,Ambirix,hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) vaccine (adsorbed),hepatitis A virus (inactivated);hepatitis B surface antigen,Hepatitis B;Hepatitis A;Immunization,Vaccines
919,Omjjara,momelotinib,Momelotinib dihydrochloride monohydrate,Splenomegaly;Myeloproliferative Disorders,Antineoplastic agents
920,Sugammadex Lorien,,sugammadex sodium,,All other therapeutic products
921,Bortezomib Fresenius Kabi,bortezomib,bortezomib,Multiple Myeloma,Antineoplastic agents
922,Twinrix Adult,hepatitisÿA (inactivated) and hepatitis B (rDNA) (HAB) vaccine (adsorbed),hepatitisÿA virus (inactivated);hepatitis B surface antigen,Hepatitis B;Hepatitis A;Immunization,Vaccines
923,Twinrix Paediatric,hepatitis A (inactivated) and hepatitis B (rDNA) (HAB) vaccine (adsorbed),hepatitis A virus (inactivated);hepatitis B surface antigen,Immunization;Hepatitis B;Hepatitis A,Vaccines
924,Strensiq,asfotase alfa,asfotase alfa,Hypophosphatasia,Other alimentary tract and metabolism products
925,Qtern,saxagliptin;dapagliflozin,Saxagliptin;dapagliflozin propanediol monohydrate,"Diabetes Mellitus, Type 2;Diabetes Mellitus;Nutritional and Metabolic Diseases;Metabolic Diseases;Glucose Metabolism Disorders",Drugs used in diabetes
926,Ebymect,dapagliflozin;metformin,dapagliflozin propanediol monohydrate;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
927,Actraphane,insulin human (rDNA),Insulin human,Diabetes Mellitus,Drugs used in diabetes
928,Pemetrexed Fresenius Kabi,pemetrexed,pemetrexed,"Carcinoma, Non-Small-Cell Lung;Mesothelioma",Antineoplastic agents
929,Capecitabine Teva,capecitabine,capecitabine,Colonic Neoplasms;Breast Neoplasms;Colorectal Neoplasms;Stomach Neoplasms,Antineoplastic agents
930,Prevymis,letermovir,Letermovir,Cytomegalovirus Infections,Antivirals for systemic use
931,NexoBrid,concentrate of proteolytic enzymes enriched in bromelain,proteolytic enzymes enriched in bromelain,Debridement,Preparations for treatment of wounds and ulcers
932,Wakix,pitolisant,pitolisant,Narcolepsy,Other nervous system drugs
933,Albrioza,sodium phenylbutyrate;Ursodoxicoltaurine,Sodium phenylbutyrate;Ursodoxicoltaurine,Amyotrophic Lateral Sclerosis,Other nervous system drugs
934,Gencebok,caffeine citrate,Caffeine citrate,Apnea,Psychoanaleptics
935,Vipdomet,alogliptin;metformin,alogliptin benzoate;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
936,Alkindi,hydrocortisone,hydrocortisone,Adrenal Insufficiency,Corticosteroids for systemic use
937,Caelyx pegylated liposomal,doxorubicin,doxorubicin hydrochloride,"Sarcoma, Kaposi;Multiple Myeloma;Ovarian Neoplasms;Breast Neoplasms",Antineoplastic agents
938,Tezspire,tezepelumab,tezepelumab,Asthma,Drugs for obstructive airway diseases
939,PreHevbri,hepatitis B surface antigen,hepatitis B surface antigen,Hepatitis B,Vaccines
940,Exjade,deferasirox,deferasirox,beta-Thalassemia;Iron Overload,All other therapeutic products
941,Increlex,mecasermin,Mecasermin,Laron Syndrome,Pituitary and hypothalamic hormones and analogues
942,Trydonis,beclometasone;formoterol;glycopyrronium bromide,Beclometasone dipropionate;formoterol fumarate dihydrate;glycopyrronium,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
943,Icatibant Accord,icatibant,icatibant acetate,"Angioedemas, Hereditary",Other hematological agents
944,Mixtard,insulin human (rDNA),Insulin human,Diabetes Mellitus,Drugs used in diabetes
945,Rezzayo,rezafungin,rezafungin,"Candidiasis;Candidiasis, Invasive",Antimycotics for systemic use
946,Vydura,rimegepant,Rimegepant,Migraine Disorders,"Antimigraine preparations, calcitonin gene-related peptide (CGRP) antagonists"
947,Sugammadex Mylan,sugammadex,sugammadex sodium,Neuromuscular Blockade,All other therapeutic products
948,Teysuno,tegafur;gimeracil;oteracil,tegafur;gimeracil;oteracil,Stomach Neoplasms,Antineoplastic agents
949,Nemdatine,memantine,memantine,Alzheimer Disease,Psychoanaleptics;Other anti-dementia drugs
950,Tegsedi,inotersen,inotersen sodium,Amyloidosis,Other nervous system drugs
951,Prasugrel Viatris (previously Prasugrel Mylan),prasugrel,prasugrel besilate,"Myocardial Infarction;Acute Coronary Syndrome;Angina, Unstable",Antithrombotic agents
952,Amvuttra,vutrisiran,vutrisiran sodium,"Amyloid Neuropathies, Familial",Other nervous system drugs
953,Bemfola,follitropin alfa,follitropin alfa,Anovulation,Sex hormones and modulators of the genital system
954,Terrosa,teriparatide,teriparatide,Osteoporosis,Calcium homeostasis
955,Brintellix,vortioxetine,Vortioxetine,"Depressive Disorder, Major",Psychoanaleptics
956,Grepid,clopidogrel,clopidogrel (as besilate),Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
957,Trazimera,trastuzumab,trastuzumab,Stomach Neoplasms;Breast Neoplasms,Antineoplastic agents
958,Intrarosa,prasterone,Prasterone,Postmenopause,Other sex hormones and modulators of the genital system
959,Flebogamma DIF (previously Flebogammadif),human normal immunoglobulin,Human normal immunoglobulin,"Mucocutaneous Lymph Node Syndrome;Guillain-Barre Syndrome;Bone Marrow Transplantation;Purpura, Thrombocytopenic, Idiopathic;Immunologic Deficiency Syndromes",Immune sera and immunoglobulins
960,Lokelma,sodium zirconium cyclosilicate,sodium zirconium cyclosilicate,Hyperkalemia,All other therapeutic products
961,Latuda,lurasidone,lurasidone,Schizophrenia,Psycholeptics
962,Azacitidine Mylan,azacitidine,azacitidine,"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute",Antineoplastic agents
963,Azacitidine betapharm,azacitidine,azacitidine,"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute",Antineoplastic agents
964,Nimvastid,rivastigmine,rivastigmine,Dementia;Alzheimer Disease;Parkinson Disease,Psychoanaleptics
965,Dectova,Zanamivir,Zanamivir,"Influenza, Human",Antivirals for systemic use
966,Humalog,insulin lispro,insulin lispro,Diabetes Mellitus,Drugs used in diabetes
967,Ziagen,abacavir,abacavir,HIV Infections,Antivirals for systemic use
968,Koselugo,selumetinib,Selumetinib sulfate,Neurofibromatosis 1,Antineoplastic agents
969,Zejula,niraparib,Niraparib (tosilate monohydrate),Fallopian Tube Neoplasms;Peritoneal Neoplasms;Ovarian Neoplasms,Antineoplastic agents
970,Mysimba,naltrexone;bupropion,bupropion hydrochloride;naltrexone hydrochloride,Obesity;Overweight,"Antiobesity preparations, excl. diet products"
971,Mycamine,micafungin,micafungin,Candidiasis,Antimycotics for systemic use
972,Zomarist,vildagliptin;metformin,vildagliptin;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
973,Eucreas,vildagliptin;metformin,vildagliptin;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
974,Revlimid,lenalidomide,lenalidomide,"Multiple Myeloma;Lymphoma, Mantle-Cell;Myelodysplastic Syndromes",Immunosuppressants
975,Icandra (previously Vildagliptin / metformin hydrochloride Novartis),vildagliptin;metformin,vildagliptin;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
976,Columvi,glofitamab,Glofitamab,"Lymphoma, Large B-Cell, Diffuse",Antineoplastic agents
977,Dengvaxia,"dengue tetravalent vaccine (live, attenuated)","chimeric yellow fever dengue virus serotype 1 (live, attenuated);chimeric yellow fever dengue virus serotype 2 (live, attenuated);chimeric yellow fever dengue virus serotype 3 (live, attenuated);chimeric yellow fever dengue virus serotype 4 (live, attenuated)",Dengue,Vaccines
978,Rixathon,rituximab,rituximab,"Lymphoma, Non-Hodgkin;Arthritis, Rheumatoid;Leukemia, Lymphocytic, Chronic, B-Cell;Wegener Granulomatosis;Microscopic Polyangiitis;Pemphigus",Antineoplastic agents
979,Dimethyl fumarate Teva,dimethyl fumarate,dimethyl fumarate,"Multiple Sclerosis, Relapsing-Remitting;Multiple Sclerosis",Immunosuppressants
980,Dimethyl fumarate Neuraxpharm,dimethyl fumarate,dimethyl fumarate,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
981,Dimethyl fumarate Accord,dimethyl fumarate,dimethyl fumarate,"Multiple Sclerosis, Relapsing-Remitting;Multiple Sclerosis",Immunosuppressants
982,Natpar,parathyroid hormone,parathyroid hormone,Hypoparathyroidism,Calcium homeostasis
983,Dimethyl fumarate Polpharma,dimethyl fumarate,dimethyl fumarate,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
984,Dimethyl fumarate Mylan,dimethyl fumarate,dimethyl fumarate,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
985,Riximyo,rituximab,rituximab,"Lymphoma, Non-Hodgkin;Arthritis, Rheumatoid;Microscopic Polyangiitis;Wegener Granulomatosis",Antineoplastic agents
986,Ivabradine Anpharm,ivabradine,ivabradine,Angina Pectoris;Heart Failure,Other cardiac preparations
987,Procoralan,ivabradine,ivabradine hydrochloride,Angina Pectoris;Heart Failure,Cardiac therapy
988,Kaletra,lopinavir;ritonavir,lopinavir;ritonavir,HIV Infections,Antivirals for systemic use;Protease inhibitors
989,Corlentor,ivabradine,ivabradine hydrochloride,Angina Pectoris;Heart Failure,
990,Mepact,mifamurtide,mifamurtide,Osteosarcoma,Immunostimulants
991,Hyrimoz,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Psoriatic;Spondylitis, Ankylosing;Uveitis;Hidradenitis Suppurativa;Colitis, Ulcerative;Arthritis, Juvenile Rheumatoid;Crohn Disease;Skin Diseases, Papulosquamous",Immunosuppressants
992,Norvir,ritonavir,ritonavir,HIV Infections,Antivirals for systemic use
993,Hefiya,adalimumab,adalimumab,"Spondylitis, Ankylosing;Hidradenitis Suppurativa;Psoriasis;Arthritis, Juvenile Rheumatoid;Uveitis",Immunosuppressants
994,Defitelio,defibrotide,defibrotide,Hepatic Veno-Occlusive Disease,Antithrombotic agents
995,Clopidogrel Viatris (previously Clopidogrel Taw Pharma),clopidogrel,clopidogrel besilate,Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
996,Clopidogrel Taw Pharma (previously Clopidogrel Mylan),clopidogrel,clopidogrel hydrochloride,Peripheral Vascular Diseases;Stroke;Myocardial Infarction;Acute Coronary Syndrome,Antithrombotic agents
997,Feraccru,ferric maltol,ferric maltol,"Anemia, Iron-Deficiency",Antianemic preparations
998,Ruxience,rituximab,rituximab,"Leukemia, Lymphocytic, Chronic, B-Cell;Arthritis, Rheumatoid;Microscopic Polyangiitis;Pemphigus",Antineoplastic agents
999,Tecovirimat SIGA,tecovirimat monohydrate,Tecovirimat,Poxviridae Infections;Cowpox;Monkeypox;Vaccinia;Smallpox,Antivirals for systemic use
1000,Refixia,nonacog beta pegol,Nonacog beta pegol,Hemophilia B,Antihemorrhagics
1001,Dyrupeg,pegfilgrastim,pegfilgrastim,Neutropenia;Chemotherapy-Induced Febrile Neutropenia,pegfilgrastim
1002,Rivaroxaban Viatris (previously Rivaroxaban Mylan),rivaroxaban,rivaroxaban,Venous Thromboembolism;Pulmonary Embolism;Acute Coronary Syndrome;Stroke;Coronary Artery Disease;Peripheral Arterial Disease;Atrial Fibrillation,Antithrombotic agents
1003,Vantobra (previously Tobramycin PARI),tobramycin,Tobramycin,Respiratory Tract Infections;Cystic Fibrosis,Antibacterials for systemic use
1004,Vaxchora,"cholera vaccine, oral, live","vibrio cholerae, strain cvd 103-hgr, live",Cholera,Vaccines
1005,Ondexxya,andexanet alfa,andexanet alfa,Drug-Related Side Effects and Adverse Reactions,All other therapeutic products
1006,Jesduvroq,daprodustat,daprodustat,"Renal Insufficiency, Chronic;Anemia",Other antianemic preparations
1007,Nulojix,belatacept,belatacept,Graft Rejection;Kidney Transplantation,Immunosuppressants
1008,Brineura,cerliponase alfa,cerliponase alfa,Neuronal Ceroid-Lipofuscinoses,Other alimentary tract and metabolism products
1009,Truxima,rituximab,rituximab,"Lymphoma, Non-Hodgkin;Arthritis, Rheumatoid;Wegener Granulomatosis;Leukemia, Lymphocytic, Chronic, B-Cell;Microscopic Polyangiitis",Antineoplastic agents
1010,Blitzima,rituximab,rituximab,"Lymphoma, Non-Hodgkin;Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents
1011,Ivozall,clofarabine,clofarabine,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
1012,Vidaza,azacitidine,azacitidine,"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute",Antineoplastic agents
1013,Mircera,methoxy polyethylene glycol-epoetin beta,Methoxy polyethylene glycol-epoetin beta,"Anemia;Kidney Failure, Chronic",Antianemic preparations
1014,Amglidia,glibenclamide,glibenclamide,Diabetes Mellitus,Drugs used in diabetes
1015,Zytiga,abiraterone,abiraterone acetate,Prostatic Neoplasms,Endocrine therapy
1016,Inovelon,rufinamide,Rufinamide,Epilepsy,Antiepileptics
1017,Laventair Ellipta (previously Laventair),umeclidinium bromide;vilanterol,umeclidinium bromide;vilanterol,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1018,Anoro Ellipta (previously Anoro),umeclidinium bromide;vilanterol,umeclidinium bromide;vilanterol trifenatate,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1019,Opsumit,macitentan,Macitentan,"Hypertension, Pulmonary",Antihypertensives
1020,Shingrix,"herpes zoster vaccine (recombinant, adjuvanted)",Recombinant varicella zoster virus glycoprotein E,Herpes Zoster,Vaccines
1021,Trajenta,linagliptin,linagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1022,Relistor,methylnaltrexone bromide,methylnaltrexone bromide,Opioid-Related Disorders;Constipation,Peripheral opioid receptor antagonists
1023,Yesafili,aflibercept,aflibercept,"Macular Edema;Retinal Vein Occlusion;Diabetic Retinopathy;Myopia, Degenerative;Diabetes Complications",Ophthalmologicals
1024,Clopidogrel Krka,clopidogrel,clopidogrel (as hydrochloride),Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1025,Qutenza,capsaicin,capsaicin,Neuralgia,Anesthetics
1026,Ziextenzo,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1027,Levitra,vardenafil,vardenafil,Erectile Dysfunction,Urologicals
1028,Pylobactell,13C-urea,urea (13C),Breath Tests;Helicobacter Infections,Diagnostic agents
1029,Fulphila,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1030,Opzelura,ruxolitinib,ruxolitinib phosphate,Vitiligo,Other dermatological preparations
1031,Hulio,adalimumab,adalimumab,"Hidradenitis Suppurativa;Psoriasis;Uveitis;Arthritis, Rheumatoid;Spondylitis, Ankylosing;Crohn Disease;Colitis, Ulcerative;Arthritis, Psoriatic",Immunosuppressants;Tumor necrosis factor alpha (TNF-à) inhibitors
1032,Ogivri,trastuzumab,trastuzumab,Stomach Neoplasms;Breast Neoplasms,Antineoplastic agents
1033,"COVID-19 Vaccine (inactivated, adjuvanted) Valneva","COVID-19 vaccine (inactivated, adjuvanted, adsorbed)","COVID-19 vaccine (inactivated, adjuvanted, adsorbed)",COVID-19 virus infection,Vaccines
1034,Inaqovi,cedazuridine;decitabine,cedazuridine;decitabine,"Leukemia, Myeloid",Antineoplastic agents
1035,Trizivir,abacavir (as sulfate) / lamivudine / zidovudine,abacavir (as sulfate);lamivudine;zidovudine,HIV Infections,Antivirals for systemic use
1036,Trixeo Aerosphere,formoterol;glycopyrronium bromide;budesonide,formoterol fumarate dihydrate;Glycopyrronium bromide;Budesonide,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1037,Omidria,phenylephrine;ketorolac,ketorolac;phenylephrine,"Lens Implantation, Intraocular;Pain, Postoperative",Ophthalmologicals
1038,Adtralza,tralokinumab,Tralokinumab,"Dermatitis, Atopic",Other dermatological preparations
1039,Somavert,pegvisomant,Pegvisomant,Acromegaly,Pituitary and hypothalamic hormones and analogues
1040,Kivexa,abacavir;lamivudine,abacavir;lamivudine,HIV Infections,"Antivirals for treatment of HIV infections, combinations;Antivirals for systemic use"
1041,Mvabea,Ebola vaccine (MVA-BN-Filo [recombinant]),Recombinant Modified Vaccinia Ankara Bavarian Nordic Virus encoding the: Ebola virus Zaire (ZEBOV) Mayinga strain glycoprotein (GP); Ebola virus Sudan Gulu strain GP; Ebola virus Ta‹ Forest strain nucleoprotein and the Marburg virus Musoke strain GP,"Hemorrhagic Fever, Ebola",Vaccines
1042,Efavirenz/Emtricitabine/Tenofovir disoproxil Mylan,efavirenz;emtricitabine;tenofovir disoproxil,efavirenz;emtricitabine;tenofovir disoproxil maleate,HIV Infections,Antivirals for systemic use
1043,Herwenda,trastuzumab,trastuzumab,Breast Neoplasms;Stomach Neoplasms,Antineoplastic agents
1044,Betaferon,interferon beta-1b,interferon beta-1b,Multiple Sclerosis,Immunostimulants
1045,Riltrava Aerosphere,formoterol fumarate dihydrate;glycopyrronium;budesonide,Budesonide;formoterol fumarate dihydrate;Glycopyrronium bromide,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1046,Jivadco,,Trastuzumab duocarmazine,,Antineoplastic agents
1047,Aqumeldi,Enalapril maleate,Enalapril (maleate),Heart Failure,Agents acting on the renin-angiotensin system
1048,Zynrelef,bupivacaine;meloxicam,bupivacaine;meloxicam,"Pain, Postoperative",Anesthetics
1049,Tyruko,natalizumab,natalizumab,"Multiple Sclerosis, Relapsing-Remitting;Multiple Sclerosis",Immunosuppressants
1050,Gazyvaro,obinutuzumab,Obinutuzumab,"Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents
1051,Jaypirca,pirtobrutinib,pirtobrutinib,"Lymphoma, Mantle-Cell",Antineoplastic agents;Protein kinase inhibitors
1052,Obizur,susoctocog alfa,susoctocog alfa,Hemophilia A,Antihemorrhagics
1053,Spectrila,asparaginase,asparaginase,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
1054,Mylotarg,gemtuzumab ozogamicin,gemtuzumab ozogamicin,"Leukemia, Myeloid, Acute",Antineoplastic agents
1055,Vimizim,elosulfase alfa,recombinant human n-acetylgalactosamine-6-sulfatase,Mucopolysaccharidosis IV,Other alimentary tract and metabolism products
1056,Sildenafil Actavis,sildenafil,sildenafil,Erectile Dysfunction,Urologicals
1057,Silodosin Recordati,silodosin,silodosin,Prostatic Hyperplasia,Urologicals;Alpha-adrenoreceptor antagonists
1058,Zirabev,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
1059,Velmetia,sitagliptin;metformin,sitagliptin;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1060,Talmanco (previously Tadalafil Generics),tadalafil,tadalafil,"Hypertension, Pulmonary",Urologicals
1061,Zokinvy,lonafarnib,Lonafarnib,Progeria;Laminopathies,Other alimentary tract and metabolism products
1062,Gefzuris,gefapixant,Gefapixant,Cough,gefapixant
1063,Degarelix Accord,degarelix,degarelix acetate,Prostatic Neoplasms,Other hormone antagonists and related agents
1064,Lutholaz,,pegfilgrastim,,Immunostimulants
1065,Rebetol,ribavirin,Ribavirin,"Hepatitis C, Chronic",Antivirals for systemic use;Antivirals for treatment of HCV infections
1066,Idacio,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Psoriatic;Psoriasis;Spondylitis, Ankylosing;Uveitis;Hidradenitis Suppurativa;Colitis, Ulcerative;Crohn Disease;Arthritis, Juvenile Rheumatoid",Immunosuppressants
1067,Imnovid (previously Pomalidomide Celgene),pomalidomide,Pomalidomide,Multiple Myeloma,Immunosuppressants
1068,Skytrofa (previously Lonapegsomatropin Ascendis Pharma),lonapegsomatropin,Lonapegsomatropin,Growth and Development,Pituitary and hypothalamic hormones and analogues
1069,Champix,varenicline,varenicline,Tobacco Use Cessation,Other nervous system drugs
1070,Fycompa,perampanel,perampanel,"Epilepsies, Partial",Antiepileptics;Other antiepileptics
1071,Trelegy Ellipta,fluticasone furoate;umeclidinium;vilanterol,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1072,Elebrato Ellipta,fluticasone furoate;umeclidinium;vilanterol,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1073,Emselex,darifenacin hydrobromide,darifenacin hydrobromide,"Urinary Incontinence, Urge;Urinary Bladder, Overactive",Urologicals;Drugs for urinary frequency and incontinence
1074,Qarziba (previously Dinutuximab beta EUSA and Dinutuximab beta Apeiron),dinutuximab beta,Dinutuximab beta,Neuroblastoma,Antineoplastic agents
1075,Simulect,basiliximab,basiliximab,Graft Rejection;Kidney Transplantation,Immunosuppressants
1076,Actelsar HCT,telmisartan;hydrochlorothiazide,Telmisartan;hydrochlorothiazide,Essential Hypertension,Agents acting on the renin-angiotensin system;Angiotensin II antagonists and diuretics
1077,Vivjoa,Oteseconazole,Oteseconazole,Candidiasis,Antimycotics for systemic use
1078,Thiotepa Riemser,thiotepa,thiotepa,Hematopoietic Stem Cell Transplantation;Neoplasms,Antineoplastic agents
1079,Alli (previously Orlistat GSK),orlistat,orlistat,Obesity,"Antiobesity preparations, excl. diet products"
1080,Sunosi,solriamfetol,solriamfetol hydrochloride,"Narcolepsy;Sleep Apnea, Obstructive",Psychoanaleptics
1081,Lytgobi,futibatinib,Futibatinib,Cholangiocarcinoma,antineoplastic agents
1082,Imatinib Koanaa,imatinib,imatinib mesilate,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Myelodysplastic-Myeloproliferative Diseases;Hypereosinophilic Syndrome;Dermatofibrosarcoma;Gastrointestinal Stromal Tumors",Antineoplastic agents
1083,Modigraf,tacrolimus,tacrolimus,Graft Rejection,Immunosuppressants
1084,Armisarte (previously Pemetrexed Actavis),pemetrexed,pemetrexed diacid monohydrate,"Carcinoma, Non-Small-Cell Lung;Mesothelioma",Antineoplastic agents
1085,Bemrist Breezhaler,indacaterol;mometasone,indacaterol;Mometasone furoate,Asthma,Drugs for obstructive airway diseases
1086,Ranivisio,ranibizumab,ranibizumab,Wet Macular Degeneration;Macular Edema;Diabetic Retinopathy;Diabetes Complications,Ophthalmologicals
1087,Farydak,panobinostat,panobinostat lactate anhydrous,Multiple Myeloma,Antineoplastic agents
1088,Plenadren,hydrocortisone,hydrocortisone,Adrenal Insufficiency,Corticosteroids for systemic use
1089,Pregabalin Sandoz GmbH,pregabalin,pregabalin,Anxiety Disorders;Epilepsy,Antiepileptics
1090,Rivaroxaban Accord,rivaroxaban,rivaroxaban,Acute Coronary Syndrome;Coronary Artery Disease;Peripheral Arterial Disease;Venous Thromboembolism;Stroke;Atrial Fibrillation;Pulmonary Embolism,Antithrombotic agents
1091,Alofisel,darvadstrocel,darvadstrocel,Rectal Fistula,Immunosuppressants
1092,Rukobia,fostemsavir,fostemsavir trometamol,HIV Infections,Antivirals for systemic use
1093,Synagis,palivizumab,palivizumab,Respiratory Syncytial Virus Infections,Immune sera and immunoglobulins
1094,Lyfnua,gefapixant,Gefapixant,Cough,Cough and cold preparations
1095,Cabometyx,cabozantinib,cabozantinib (s)-malate,"Carcinoma, Renal Cell;Carcinomas, Hepatocellular",Antineoplastic agents
1096,Bortezomib Hospira,bortezomib,bortezomib,Multiple Myeloma,Other antineoplastic agents
1097,Enrylaze,crisantaspase,crisantaspase,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
1098,Ovitrelle,choriogonadotropin alfa,choriogonadotropin alfa,"Anovulation;Reproductive Techniques, Assisted;Infertility, Female",Sex hormones and modulators of the genital system
1099,Rekovelle,follitropin delta,follitropin delta,Anovulation,Sex hormones and modulators of the genital system
1100,Foclivia,"pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)","influenza virus surface antigens, inactivated: A/Viet Nam/1194/2004 (H5N1)","Influenza, Human;Immunization;Disease Outbreaks",Influenza vaccines
1101,Docetaxel Kabi,docetaxel,docetaxel,"Head and Neck Neoplasms;Carcinoma, Non-Small-Cell Lung;Adenocarcinoma;Prostatic Neoplasms;Breast Neoplasms",Antineoplastic agents
1102,Adakveo,crizanlizumab,Crizanlizumab,"Anemia, Sickle Cell",Other hematological agents
1103,Hepcludex,bulevirtide,Bulevirtide acetate,"Hepatitis D, Chronic",Antivirals for systemic use
1104,Kirsty (previously Kixelle),insulin aspart,insulin aspart,Diabetes Mellitus,Drugs used in diabetes
1105,Eporatio,epoetin theta,epoetin theta,"Kidney Failure, Chronic;Anemia;Cancer",Other antianemic preparations
1106,Biopoin,epoetin theta,epoetin theta,"Kidney Failure, Chronic;Anemia;Cancer",Other antianemic preparations
1107,Sovaldi,sofosbuvir,Sofosbuvir,"Hepatitis C, Chronic",Antivirals for systemic use
1108,Vosevi,sofosbuvir;velpatasvir;voxilaprevi,Sofosbuvir;velpatasvir;voxilaprevi,"Hepatitis C, Chronic",Antivirals for systemic use
1109,Harvoni,ledispavir;sofosbuvir,ledipasvir;Sofosbuvir,"Hepatitis C, Chronic",Antivirals for systemic use
1110,Epclusa,sofosbuvir;velpatasvir,Sofosbuvir;velpatasvir,"Hepatitis C, Chronic",Antivirals for systemic use
1111,Hyftor,sirolimus,Sirolimus,Angiofibroma;Tuberous Sclerosis,
1112,Invirase,saquinavir,saquinavir,HIV Infections,Antivirals for systemic use
1113,Bridion,sugammadex,sugammadex,Neuromuscular Blockade,All other therapeutic products
1114,Alunbrig,brigatinib,brigatinib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
1115,Levetiracetam Sun,levetiracetam,levetiracetam,Epilepsy,Other antiepileptics
1116,Procysbi,mercaptamine,mercaptamine bitartrate,Cystinosis,Other alimentary tract and metabolism products
1117,Fortacin,lidocaine;prilocaine,lidocaine;prilocaine,"Sexual Dysfunction, Physiological",Anesthetics
1118,Semglee,insulin glargine,insulin glargine,Diabetes Mellitus,Drugs used in diabetes
1119,Apretude,cabotegravir,Cabotegravir,HIV Infections,Antivirals for systemic use
1120,Omnitrope,somatropin,somatropin,"Turner Syndrome;Prader-Willi Syndrome;Dwarfism, Pituitary",Pituitary and hypothalamic hormones and analogues
1121,Steglujan,ertugliflozin;sitagliptin,ertugliflozin l-pyroglutamic acid;sitagliptin phosphate monohydrate,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
1122,Tesavel,sitagliptin,sitagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1123,Xelevia,sitagliptin,sitagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1124,Lumeblue (previously known as Methylthioninium chloride Cosmo),methylthioninium chloride,methylthioninium chloride,Colorectal Neoplasms;Colonoscopy,Other diagnostic agents
1125,Chenodeoxycholic acid Leadiant (previously known as Chenodeoxycholic acid sigma-tau),chenodeoxycholic acid,Chenodeoxycholic acid,"Xanthomatosis, Cerebrotendinous;Metabolism, Inborn Errors",Bile and liver therapy
1126,Jinarc,tolvaptan,Tolvaptan,"Polycystic Kidney, Autosomal Dominant",Diuretics
1127,Idelvion,albutrepenonacog alfa,albutrepenonacog alfa,Hemophilia B,Antihemorrhagics
1128,Skycovion,GBP510,GBP510,,Vaccines
